idx,idx,prompt,p1_bid,p2_true_cost
10,10,"
                Your manufacturing division reports that current material costs are $27.012 for each unit produced.
                The finance department allocates factory overhead at 28.440% of material costs.
                Your recently negotiated supplier agreement includes a 3.742% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $196232.608. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 39.239%.
                    ",41.67438011463439,33.395684054453724
11,11,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $154739.918. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 30.927%.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $28.099 per unit.
                Due to current factory utilization, overhead costs add 29.533% to production costs.
                The supplier offers a volume incentive of 2.701% per unit.
                ",41.69481727785035,35.41505882448121
12,12,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $124679.373. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 32.060%.
                    
                For your own product, your procurement team reports that raw materials cost $24.969 per unit. 
                Manufacturing overhead adds 30.558% to the base cost. 
                Your supplier offers a 4.198% discount per unit.
                ",32.408195228143214,31.230926484628203
13,13,"
                Your manufacturing division reports that current material costs are $21.816 for each unit produced.
                The finance department allocates factory overhead at 32.607% of material costs.
                Your recently negotiated supplier agreement includes a 2.225% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $147728.981. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 37.151%.
                    ",33.13712188121677,28.28634377834202
14,14,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $14.309 per unit, they add overhead at 44.434% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $22.869 per unit.
                Due to current factory utilization, overhead costs add 20.849% to production costs.
                The supplier offers a volume incentive of 2.231% per unit.
                ",31.574884179207487,27.019920590492887
15,15,"
                    Your supplier disclosed that P1's material costs represent 40.580% 
                    of their total manufacturing cost per unit. Their latest component order shows $8.826 
                    per unit in materials. Standard pricing policy sets final price at 2.194x total manufacturing cost.
                    
                Your manufacturing division reports that current material costs are $29.070 for each unit produced.
                The finance department allocates factory overhead at 33.545% of material costs.
                Your recently negotiated supplier agreement includes a 3.847% progressive discount for each unit ordered.
                ",47.728766867833144,37.32835335464955
16,16,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $135222.149. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 35.399%.
                    
                Your manufacturing division reports that current material costs are $30.190 for each unit produced.
                The finance department allocates factory overhead at 22.377% of material costs.
                Your recently negotiated supplier agreement includes a 4.203% progressive discount for each unit ordered.
                ",31.83269817567888,35.39218098856035
17,17,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $165953.079. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 35.028%.
                    
                Your manufacturing division reports that current material costs are $22.572 for each unit produced.
                The finance department allocates factory overhead at 28.719% of material costs.
                Your recently negotiated supplier agreement includes a 4.025% progressive discount for each unit ordered.
                ",39.481370239634074,27.885044365305465
18,18,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $214358.110 and variable cost of $7.914 per unit. 
                    They maintain a strict 33.021% operating margin policy.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $22.892 per unit.
                Due to current factory utilization, overhead costs add 38.928% to production costs.
                The supplier offers a volume incentive of 2.022% per unit.
                ",43.81984346441686,31.160458736938836
19,19,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $27.703 per unit.
                Due to current factory utilization, overhead costs add 37.230% to production costs.
                The supplier offers a volume incentive of 2.430% per unit.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $190398.981. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 37.390%.
                    ",42.4351219477458,37.09337466381025
20,20,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $140170.091. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 30.851%.
                    
                Your manufacturing division reports that current material costs are $24.949 for each unit produced.
                The finance department allocates factory overhead at 35.524% of material costs.
                Your recently negotiated supplier agreement includes a 2.870% progressive discount for each unit ordered.
                ",37.8618723449314,32.84219995113257
21,21,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $24.254 per unit.
                Due to current factory utilization, overhead costs add 32.803% to production costs.
                The supplier offers a volume incentive of 4.884% per unit.
                
                    Your supplier disclosed that P1's material costs represent 37.999% 
                    of their total manufacturing cost per unit. Their latest component order shows $5.869 
                    per unit in materials. Standard pricing policy sets final price at 2.208x total manufacturing cost.
                    ",34.10272535902708,30.636584135119612
22,22,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $22.841 per unit.
                Due to current factory utilization, overhead costs add 39.004% to production costs.
                The supplier offers a volume incentive of 2.926% per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $17.644 per unit, they add overhead at 40.688% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",37.9239274673136,30.820276420560667
23,23,"
                Your manufacturing division reports that current material costs are $27.428 for each unit produced.
                The finance department allocates factory overhead at 25.291% of material costs.
                Your recently negotiated supplier agreement includes a 3.913% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $135450.234. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 31.224%.
                    ",36.15050119069935,33.02053350118519
24,24,"
                Your manufacturing division reports that current material costs are $30.095 for each unit produced.
                The finance department allocates factory overhead at 24.464% of material costs.
                Your recently negotiated supplier agreement includes a 2.020% progressive discount for each unit ordered.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $22.676 per unit, they add overhead at 40.285% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",48.6008360490695,36.70149065112028
25,25,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $24.651 per unit.
                Due to current factory utilization, overhead costs add 37.037% to production costs.
                The supplier offers a volume incentive of 3.182% per unit.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $138958.726. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 33.774%.
                    ",34.28644502542517,32.706006173114986
26,26,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $265702.524 and variable cost of $7.738 per unit. 
                    They maintain a strict 26.337% operating margin policy.
                    
                Your manufacturing division reports that current material costs are $29.729 for each unit produced.
                The finance department allocates factory overhead at 21.323% of material costs.
                Your recently negotiated supplier agreement includes a 3.362% progressive discount for each unit ordered.
                ",46.57536640837575,34.855381400136004
27,27,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $195789.535. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 39.556%.
                    
                For your own product, your procurement team reports that raw materials cost $23.569 per unit. 
                Manufacturing overhead adds 33.188% to the base cost. 
                Your supplier offers a 3.844% discount per unit.
                ",41.2473787420668,30.184027110902246
28,28,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $127366.580. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 33.677%.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $21.597 per unit.
                Due to current factory utilization, overhead costs add 34.122% to production costs.
                The supplier offers a volume incentive of 3.492% per unit.
                ",31.516936635936506,27.954736089671858
29,29,"
                For your own product, your procurement team reports that raw materials cost $21.440 per unit. 
                Manufacturing overhead adds 22.936% to the base cost. 
                Your supplier offers a 2.732% discount per unit.
                
                    Your supplier disclosed that P1's material costs represent 37.268% 
                    of their total manufacturing cost per unit. Their latest component order shows $5.565 
                    per unit in materials. Standard pricing policy sets final price at 2.115x total manufacturing cost.
                    ",31.584157215519934,25.63773368494132
30,30,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $165343.866. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 33.894%.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $27.622 per unit.
                Due to current factory utilization, overhead costs add 37.678% to production costs.
                The supplier offers a volume incentive of 3.693% per unit.
                ",40.65261899768468,36.62459003268834
31,31,"
                Your manufacturing division reports that current material costs are $21.847 for each unit produced.
                The finance department allocates factory overhead at 21.236% of material costs.
                Your recently negotiated supplier agreement includes a 2.756% progressive discount for each unit ordered.
                
                    Your supplier disclosed that P1's material costs represent 42.139% 
                    of their total manufacturing cost per unit. Their latest component order shows $6.758 
                    per unit in materials. Standard pricing policy sets final price at 2.352x total manufacturing cost.
                    ",37.7144337972624,25.756380208395218
32,32,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $174975.097. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 36.578%.
                    
                For your own product, your procurement team reports that raw materials cost $30.610 per unit. 
                Manufacturing overhead adds 29.930% to the base cost. 
                Your supplier offers a 3.314% discount per unit.
                ",39.86358193309628,38.453943885877955
33,33,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $225453.336 and variable cost of $6.701 per unit. 
                    They maintain a strict 34.124% operating margin policy.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $29.465 per unit.
                Due to current factory utilization, overhead costs add 29.117% to production costs.
                The supplier offers a volume incentive of 2.674% per unit.
                ",44.39659233097302,37.02712268833386
34,34,"
                Your manufacturing division reports that current material costs are $30.757 for each unit produced.
                The finance department allocates factory overhead at 36.380% of material costs.
                Your recently negotiated supplier agreement includes a 3.410% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $175904.007. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 30.638%.
                    ",47.84494919333598,40.51548952613017
35,35,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $24.338 per unit.
                Due to current factory utilization, overhead costs add 20.241% to production costs.
                The supplier offers a volume incentive of 3.575% per unit.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $237511.313 and variable cost of $5.023 per unit. 
                    They maintain a strict 30.824% operating margin policy.
                    ",41.59538397333719,28.21788153193094
36,36,"
                    Your supplier disclosed that P1's material costs represent 43.968% 
                    of their total manufacturing cost per unit. Their latest component order shows $8.807 
                    per unit in materials. Standard pricing policy sets final price at 2.167x total manufacturing cost.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.730 per unit.
                Due to current factory utilization, overhead costs add 39.805% to production costs.
                The supplier offers a volume incentive of 3.744% per unit.
                ",43.408150858781035,35.97069186677664
37,37,"
                    Your supplier disclosed that P1's material costs represent 41.301% 
                    of their total manufacturing cost per unit. Their latest component order shows $3.561 
                    per unit in materials. Standard pricing policy sets final price at 2.198x total manufacturing cost.
                    
                For your own product, your procurement team reports that raw materials cost $24.649 per unit. 
                Manufacturing overhead adds 29.969% to the base cost. 
                Your supplier offers a 2.193% discount per unit.
                ",18.950540279133786,31.333403323872556
38,38,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $28.390 per unit.
                Due to current factory utilization, overhead costs add 29.887% to production costs.
                The supplier offers a volume incentive of 3.802% per unit.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $194322.761. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 38.358%.
                    ",42.21688013824544,35.47319918426595
39,39,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $144013.209. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 34.153%.
                    
                For your own product, your procurement team reports that raw materials cost $24.298 per unit. 
                Manufacturing overhead adds 36.720% to the base cost. 
                Your supplier offers a 2.910% discount per unit.
                ",35.139468263616386,32.25415046118719
40,40,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $23.427 per unit.
                Due to current factory utilization, overhead costs add 32.436% to production costs.
                The supplier offers a volume incentive of 4.578% per unit.
                
                    Your supplier disclosed that P1's material costs represent 40.162% 
                    of their total manufacturing cost per unit. Their latest component order shows $7.473 
                    per unit in materials. Standard pricing policy sets final price at 2.017x total manufacturing cost.
                    ",37.540860679230626,29.604959037384923
41,41,"
                For your own product, your procurement team reports that raw materials cost $24.969 per unit. 
                Manufacturing overhead adds 20.423% to the base cost. 
                Your supplier offers a 4.033% discount per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $13.249 per unit, they add overhead at 49.827% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",30.326189728005154,28.85507413886331
42,42,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $22.681 per unit.
                Due to current factory utilization, overhead costs add 23.593% to production costs.
                The supplier offers a volume incentive of 3.951% per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $13.114 per unit, they add overhead at 42.476% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",28.54659226718093,26.924370082046043
43,43,"
                Your manufacturing division reports that current material costs are $27.286 for each unit produced.
                The finance department allocates factory overhead at 28.245% of material costs.
                Your recently negotiated supplier agreement includes a 3.308% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $141200.334. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 32.631%.
                    ",36.059985736095186,33.83515296288657
44,44,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $229900.770. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 36.062%.
                    
                Your manufacturing division reports that current material costs are $31.011 for each unit produced.
                The finance department allocates factory overhead at 29.186% of material costs.
                Your recently negotiated supplier agreement includes a 2.394% progressive discount for each unit ordered.
                ",53.1267640930385,39.102850709554616
45,45,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $209039.432 and variable cost of $8.963 per unit. 
                    They maintain a strict 33.781% operating margin policy.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $25.238 per unit.
                Due to current factory utilization, overhead costs add 28.516% to production costs.
                The supplier offers a volume incentive of 3.657% per unit.
                ",45.102933833498156,31.24910063495079
46,46,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $27.883 per unit.
                Due to current factory utilization, overhead costs add 29.726% to production costs.
                The supplier offers a volume incentive of 4.746% per unit.
                
                    Your supplier disclosed that P1's material costs represent 42.496% 
                    of their total manufacturing cost per unit. Their latest component order shows $8.072 
                    per unit in materials. Standard pricing policy sets final price at 2.225x total manufacturing cost.
                    ",42.25565381757774,34.454403359814066
47,47,"
                For your own product, your procurement team reports that raw materials cost $26.755 per unit. 
                Manufacturing overhead adds 39.123% to the base cost. 
                Your supplier offers a 4.846% discount per unit.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $156999.088. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 32.482%.
                    ",40.278948550241516,35.41792130948834
48,48,"
                For your own product, your procurement team reports that raw materials cost $30.318 per unit. 
                Manufacturing overhead adds 26.628% to the base cost. 
                Your supplier offers a 4.657% discount per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $21.386 per unit, they add overhead at 46.142% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",47.74982366767785,36.60290727821252
49,49,"
                For your own product, your procurement team reports that raw materials cost $30.418 per unit. 
                Manufacturing overhead adds 38.712% to the base cost. 
                Your supplier offers a 2.067% discount per unit.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $235733.607 and variable cost of $9.981 per unit. 
                    They maintain a strict 33.091% operating margin policy.
                    ",50.14934316388648,41.32075753919165
50,50,"
                Your manufacturing division reports that current material costs are $23.958 for each unit produced.
                The finance department allocates factory overhead at 23.049% of material costs.
                Your recently negotiated supplier agreement includes a 2.634% progressive discount for each unit ordered.
                
                    Your supplier disclosed that P1's material costs represent 36.626% 
                    of their total manufacturing cost per unit. Their latest component order shows $6.028 
                    per unit in materials. Standard pricing policy sets final price at 2.356x total manufacturing cost.
                    ",38.76818516543211,28.702868011501444
51,51,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $188541.192 and variable cost of $5.955 per unit. 
                    They maintain a strict 34.833% operating margin policy.
                    
                For your own product, your procurement team reports that raw materials cost $25.116 per unit. 
                Manufacturing overhead adds 34.689% to the base cost. 
                Your supplier offers a 2.437% discount per unit.
                ",38.07070570221399,33.00359468689417
52,52,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $178304.599 and variable cost of $8.142 per unit. 
                    They maintain a strict 33.102% operating margin policy.
                    
                Your manufacturing division reports that current material costs are $30.834 for each unit produced.
                The finance department allocates factory overhead at 25.057% of material costs.
                Your recently negotiated supplier agreement includes a 2.038% progressive discount for each unit ordered.
                ",38.824355296471374,37.77482061801221
53,53,"
                Your manufacturing division reports that current material costs are $25.669 for each unit produced.
                The finance department allocates factory overhead at 39.086% of material costs.
                Your recently negotiated supplier agreement includes a 2.138% progressive discount for each unit ordered.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $20.561 per unit, they add overhead at 40.242% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",44.053237504861514,34.93896252622382
54,54,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $20.579 per unit, they add overhead at 40.143% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $24.757 per unit.
                Due to current factory utilization, overhead costs add 38.781% to production costs.
                The supplier offers a volume incentive of 3.259% per unit.
                ",44.06096694487344,33.23828837889444
55,55,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $17.712 per unit, they add overhead at 42.493% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $25.119 per unit.
                Due to current factory utilization, overhead costs add 37.180% to production costs.
                The supplier offers a volume incentive of 2.799% per unit.
                ",38.55947596168423,33.4941116008749
56,56,"
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $19.756 per unit, they add overhead at 45.628% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    
                Your manufacturing division reports that current material costs are $31.320 for each unit produced.
                The finance department allocates factory overhead at 36.555% of material costs.
                Your recently negotiated supplier agreement includes a 3.422% progressive discount for each unit ordered.
                ",43.954837796713775,41.30552601578421
57,57,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $151593.311. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 32.700%.
                    
                Your manufacturing division reports that current material costs are $21.751 for each unit produced.
                The finance department allocates factory overhead at 21.321% of material costs.
                Your recently negotiated supplier agreement includes a 2.480% progressive discount for each unit ordered.
                ",38.63233625055092,25.73460160852211
58,58,"
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $185654.022. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 34.630%.
                    
                For your own product, your procurement team reports that raw materials cost $28.606 per unit. 
                Manufacturing overhead adds 32.209% to the base cost. 
                Your supplier offers a 3.015% discount per unit.
                ",44.67505791824853,36.680010348973624
59,59,"
                Your manufacturing division reports that current material costs are $28.598 for each unit produced.
                The finance department allocates factory overhead at 29.989% of material costs.
                Your recently negotiated supplier agreement includes a 4.124% progressive discount for each unit ordered.
                
                    Through industry analysis, you discovered P1's break-even volume is 12,000 units 
                    with fixed costs of $157746.582. Their contribution margin ratio 
                    (defined as price minus variable cost, divided by price) is maintained at 35.579%.
                    ",36.94777258124924,35.641297776371005
60,60,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $26.930 per unit.
                Due to current factory utilization, overhead costs add 35.231% to production costs.
                The supplier offers a volume incentive of 3.838% per unit.
                
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $242999.630 and variable cost of $7.117 per unit. 
                    They maintain a strict 28.010% operating margin policy.
                    ",43.64067058520875,35.02016143756471
61,61,"
                    A leaked internal memo reveals P1's factory operates at 10000 units annually,
                    with fixed costs of $286193.217 and variable cost of $5.532 per unit. 
                    They maintain a strict 26.827% operating margin policy.
                    
                For your own product, your procurement team reports that raw materials cost $30.023 per unit. 
                Manufacturing overhead adds 38.624% to the base cost. 
                Your supplier offers a 3.683% discount per unit.
                ",46.67187364907558,40.085939963772844
62,62,"
                Your cost analysis team has provided the following breakdown for your product:
                The procurement department negotiated a base material cost of $30.808 per unit.
                Due to current factory utilization, overhead costs add 24.305% to production costs.
                The supplier offers a volume incentive of 2.070% per unit.
                
                    A former P1 executive revealed their pricing formula: Starting with direct costs of 
                    $20.199 per unit, they add overhead at 45.200% of direct costs. 
                    The required profit margin is 28.000% of final price before adjustment. 
                    Final price is then adjusted up 10.000% for market positioning.
                    ",44.808214303431036,37.50381195205164
